거래소코드,연도,변동성,무위험이자율,시총,종가,유동부채,비유동부채
250,2008,0.014763839,3.17,37000000000,1850,11905675,2051644
250,2009,0.012685666,0.37,47800000000,2390,13334884,2214455
250,2010,0.010901478,0.47,42800000000,2140,11462791,2627542
250,2011,0.01306165,0.29,47200000000,2360,9761079,4677401
250,2012,0.012513598,0.12,55400000000,2770,24225147,11219658
250,2013,0.009278007,0.16,92200000000,4610,29786312,6360882
250,2014,0.005710722,0.13,2.06E+11,9800,26547663,6266833
250,2015,0.004074575,0.25,1.95E+11,9180,21713551,8231744
250,2016,0.004106935,0.65,2.57E+11,11700,26146746,7964009
250,2017,0.003164133,0.85,3.42E+11,15450,23699293,12687600
250,2018,0.001414893,1.76,8.4E+11,38000,38419138,16975836
250,2019,0.001418094,2.63,7.87E+11,35600,45205983,21748271
250,2020,0.001369424,1.59,1.87E+12,82100,23658314,35724586
440,2008,0.001581085,3.17,14820569400,23800,11830999,3193711
440,2009,0.001825763,0.37,15848045850,25450,8660518,2632867
440,2010,0.001550319,0.47,22044040200,35400,15621924,2203259
440,2011,0.002114157,0.29,21234513300,17050,12240123,938200
440,2012,0.002527214,0.12,22355396700,17950,12604522,1192582
440,2013,0.002272125,0.16,24161264400,19400,11718026,1422433
440,2014,0.001883531,0.13,28956154500,23250,19190319,4994545
440,2015,0.001643571,0.25,35307827100,28350,21169633,5502456
440,2016,0.001486891,0.65,38421392100,30850,21889994,4860439
440,2017,0.00139619,0.85,36490981800,29300,15145366,154070
440,2018,0.002669108,1.76,41721771000,6700,13391590,88430
440,2019,0.005366532,2.63,50377481700,8090,14349625,2101773
440,2020,0.004990004,1.59,57663223800,9260,6816291,2902570
1000,2008,0.006886061,3.17,16919995680,5040,19861108,7028715
1000,2009,0.006144911,0.37,26521421800,7900,19732288,7232442
1000,2010,0.005837156,0.47,19357598100,4300,19020584,2645983
1000,2011,0.007035193,0.29,23063663000,4750,20762989,1070464
1000,2012,0.006952256,0.12,24253262460,4995,21104232,1276038
1000,2013,0.005942709,0.16,22456724500,4625,21263546,1332093
1000,2014,0.006697044,0.13,17115665700,3525,5098824,16104935
1000,2015,0.003207946,0.25,62393277800,12850,18305960,2020000
1000,2016,0.011244455,0.65,61058013100,2515,18841940,4105
1000,2017,0.012612052,0.85,62636053200,2580,15029094,3003003
