회사명,거래소코드,회계년도,기사단어개수,유사도,부도1년,부도2년,부도3년
삼천당제약,250,2008,0,0.0,0,0,0
삼천당제약,250,2009,0,0.0,0,0,0
삼천당제약,250,2010,0,0.0,0,0,0
삼천당제약,250,2011,0,0.0,0,0,0
삼천당제약,250,2012,0,0.0,0,0,0
삼천당제약,250,2013,0,0.0,0,0,0
삼천당제약,250,2014,0,0.0,0,0,0
삼천당제약,250,2015,0,0.0,0,0,0
삼천당제약,250,2016,1,0.243081331,0,0,0
삼천당제약,250,2017,5,1.203811914,0,0,0
삼천당제약,250,2018,0,0.0,0,0,0
삼천당제약,250,2019,0,0.0,0,0,0
삼천당제약,250,2020,5,0.711653575,0,0,0
중앙에너비스,440,2008,4,0.666863233,0,0,0
중앙에너비스,440,2009,7,0.64823547,0,0,0
중앙에너비스,440,2010,15,1.003727168,0,0,0
중앙에너비스,440,2011,12,1.002434716,0,0,0
중앙에너비스,440,2012,4,0.784712434,0,0,0
중앙에너비스,440,2013,7,0.781395257,0,0,0
중앙에너비스,440,2014,2,0.389458537,0,0,0
중앙에너비스,440,2015,17,1.275049001,0,0,0
중앙에너비스,440,2016,1,0.239895567,0,0,0
중앙에너비스,440,2017,0,0.0,0,0,0
중앙에너비스,440,2018,5,0.889150977,0,0,0
중앙에너비스,440,2019,0,0.0,0,0,0
중앙에너비스,440,2020,0,0.0,0,0,0
신라섬유,1000,2008,0,0.0,0,0,0
신라섬유,1000,2009,2,0.482084215,0,0,0
신라섬유,1000,2010,0,0.0,0,0,0
신라섬유,1000,2011,0,0.0,0,0,0
신라섬유,1000,2012,0,0.0,0,0,0
신라섬유,1000,2013,0,0.0,0,0,0
신라섬유,1000,2014,8,0.28957507,0,0,0
신라섬유,1000,2015,0,0.0,0,0,0
신라섬유,1000,2016,0,0.0,0,0,0
신라섬유,1000,2017,0,0.0,0,0,0
신라섬유,1000,2018,0,0.0,0,0,0
신라섬유,1000,2019,11,1.446252644,0,0,0
신라섬유,1000,2020,1,0.237397239,0,0,0
안국약품,1540,2008,6,1.299763769,0,0,0
안국약품,1540,2009,0,0.0,0,0,0
안국약품,1540,2010,8,0.610764027,0,0,0
안국약품,1540,2011,6,0.881869733,0,0,0
안국약품,1540,2012,3,0.846604675,0,0,0
안국약품,1540,2013,3,0.8306517,0,0,0
안국약품,1540,2014,14,2.179656982,0,0,0
안국약품,1540,2015,15,1.067055225,0,0,0
안국약품,1540,2016,1,0.265178919,0,0,0
안국약품,1540,2017,0,0.0,0,0,0
안국약품,1540,2018,1,0.254467756,0,0,0
안국약품,1540,2019,2,0.251542836,0,0,0
안국약품,1540,2020,6,0.91614604,0,0,0
무림에스피,1810,2008,0,0.0,0,0,0
무림에스피,1810,2009,0,0.0,0,0,0
무림에스피,1810,2010,3,0.471681803,0,0,0
무림에스피,1810,2011,1,0.23171775,0,0,0
무림에스피,1810,2012,1,0.226087555,0,0,0
무림에스피,1810,2013,2,0.444183052,0,0,0
무림에스피,1810,2014,0,0.0,0,0,0
무림에스피,1810,2015,0,0.0,0,0,0
무림에스피,1810,2016,0,0.0,0,0,0
무림에스피,1810,2017,0,0.0,0,0,0
무림에스피,1810,2018,0,0.0,0,0,0
무림에스피,1810,2019,0,0.0,0,0,0
무림에스피,1810,2020,0,0.0,0,0,0
이화공영,1840,2008,1,0.218778029,0,0,0
이화공영,1840,2009,0,0.0,0,0,0
이화공영,1840,2010,0,0.0,0,0,0
이화공영,1840,2011,2,0.206084296,0,0,0
이화공영,1840,2012,0,0.0,0,0,0
이화공영,1840,2013,0,0.0,0,0,0
이화공영,1840,2014,0,0.0,0,0,0
이화공영,1840,2015,0,0.0,0,0,0
이화공영,1840,2016,0,0.0,0,0,0
이화공영,1840,2017,0,0.0,0,0,0
이화공영,1840,2018,0,0.0,0,0,0
이화공영,1840,2019,0,0.0,0,0,0
이화공영,1840,2020,0,0.0,0,0,0
피에스텍,2230,2008,0,0.0,0,0,0
피에스텍,2230,2009,3,0.491155028,0,0,0
피에스텍,2230,2010,1,0.241970718,0,0,0
피에스텍,2230,2011,2,0.480006009,0,0,0
피에스텍,2230,2012,0,0.0,0,0,0
피에스텍,2230,2013,2,0.472216457,0,0,0
피에스텍,2230,2014,0,0.0,0,0,0
피에스텍,2230,2015,2,0.503070235,0,0,0
피에스텍,2230,2016,0,0.0,0,0,0
피에스텍,2230,2017,1,0.233699933,0,0,0
피에스텍,2230,2018,0,0.0,0,0,0
피에스텍,2230,2019,0,0.0,0,0,0
피에스텍,2230,2020,0,0.0,0,0,0
삼일기업공사,2290,2008,0,0.0,0,0,0
삼일기업공사,2290,2009,7,1.25345993,0,0,0
삼일기업공사,2290,2010,0,0.0,0,0,0
삼일기업공사,2290,2011,3,0.609188765,0,0,0
삼일기업공사,2290,2012,0,0.0,0,0,0
삼일기업공사,2290,2013,4,0.574111775,0,0,0
